"contrast1","contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.0140838570864842,0.00309427278637875,Inf,4.55158871204973,0.0000158714807312332,"mr_y_smri__thk__dst__gfit"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0299551341810089,0.00593964766035077,Inf,5.04325103001815,0.00000136941588346762,"mr_y_smri__thk__dst__gfit"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.0158712770945247,0.00608879172308444,Inf,2.60663819955475,0.0247990149289439,"mr_y_smri__thk__dst__gfit"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.00798626462735572,0.00308733925729913,Inf,2.58677908768027,0.0262130561217457,"mr_y_smri__thk__dst__gfit"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",0.00401066717728322,0.00586909227438153,Inf,0.683353913992749,0.773211335836554,"mr_y_smri__thk__dst__gfit"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-0.0039755974500725,0.00601412043342562,Inf,-0.661043870684182,0.786079087595542,"mr_y_smri__thk__dst__gfit"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.0121079667017015,0.00245869696295443,Inf,4.92454616576752,0.00000252831929081765,"mr_y_smri__thk__dst__gfm"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0192763890498993,0.00471122371280257,Inf,4.09158856063585,0.000126811456552689,"mr_y_smri__thk__dst__gfm"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.00716842234819784,0.00482837009106264,Inf,1.4846464154574,0.298280255436496,"mr_y_smri__thk__dst__gfm"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.00478984166506746,0.00244898841271878,Inf,1.95584496855579,0.123341948800267,"mr_y_smri__thk__dst__gfm"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",0.0057448046131315,0.00465217588754454,Inf,1.23486401890184,0.432549753043745,"mr_y_smri__thk__dst__gfm"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",0.000954962948064046,0.00476661427567229,Inf,0.200344079221589,0.978115786098112,"mr_y_smri__thk__dst__gfm"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.0194961407576605,0.00203705433809589,Inf,9.57075144882206,0.0000000000000237587727269783,"mr_y_smri__thk__dst__gfs"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.031063428715904,0.00389147870343835,Inf,7.9824228996699,0.0000000000000451860771022439,"mr_y_smri__thk__dst__gfs"
