"contrast","session_id","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","ses-04A",0.0000112723480647145,0.0031919882162523,Inf,0.00353145040051223,0.999993124322913,"mr_y_smri__thk__dsk__mtmp"
"co_longi0 - co_longi2","ses-04A",0.00695765613252605,0.00587063498270383,Inf,1.18516244887049,0.462021537427797,"mr_y_smri__thk__dsk__mtmp"
"co_longi1 - co_longi2","ses-04A",0.00694638378446134,0.00589675605834758,Inf,1.17800087297623,0.466327683888969,"mr_y_smri__thk__dsk__mtmp"
"co_longi0 - co_longi1","ses-06A",0.0125017044887575,0.00319655026020552,Inf,3.9109988803848,0.000270895297031948,"mr_y_smri__thk__dsk__mtmp"
"co_longi0 - co_longi2","ses-06A",0.0248235789661483,0.00564591348392379,Inf,4.39673385659046,0.0000326970921196157,"mr_y_smri__thk__dsk__mtmp"
"co_longi1 - co_longi2","ses-06A",0.0123218744773908,0.00560193201239087,Inf,2.19957586956359,0.0712317422639641,"mr_y_smri__thk__dsk__mtmp"
"co_longi0 - co_longi1","ses-02A",-0.0232838818719256,0.00285216415277608,Inf,-8.16358408027211,0.0000000000000366373598126302,"mr_y_smri__thk__dsk__pactr"
"co_longi0 - co_longi2","ses-02A",-0.0207924848322863,0.00539105086398307,Inf,-3.85685191197106,0.000338000714466102,"mr_y_smri__thk__dsk__pactr"
"co_longi1 - co_longi2","ses-02A",0.00249139703963932,0.00546380518447877,Inf,0.455982040998958,0.89173894176795,"mr_y_smri__thk__dsk__pactr"
"co_longi0 - co_longi1","ses-04A",-0.00276734191536904,0.00310279048611566,Inf,-0.89188810129215,0.645433854702198,"mr_y_smri__thk__dsk__pactr"
"co_longi0 - co_longi2","ses-04A",0.0117284563909995,0.0057081943923515,Inf,2.05467010841723,0.0994719079978064,"mr_y_smri__thk__dsk__pactr"
"co_longi1 - co_longi2","ses-04A",0.0144957983063685,0.00573411706628226,Inf,2.52799134353336,0.0308159635181682,"mr_y_smri__thk__dsk__pactr"
"co_longi0 - co_longi1","ses-06A",0.000310361975772745,0.00310802437755158,Inf,0.0998582823270005,0.994517526338631,"mr_y_smri__thk__dsk__pactr"
"co_longi0 - co_longi2","ses-06A",0.0138323344401258,0.00549306132471672,Inf,2.5181467350247,0.0316511793118157,"mr_y_smri__thk__dsk__pactr"
"co_longi1 - co_longi2","ses-06A",0.0135219724643531,0.00545136461417725,Inf,2.48047478409109,0.0350293330515878,"mr_y_smri__thk__dsk__pactr"
"co_longi0 - co_longi1","ses-02A",-0.000761050924099197,0.00249408591661386,Inf,-0.305142224263249,0.949969763031606,"mr_y_smri__thk__dsk__pcg"
