"contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi2 - co_longi3",-1.26387333401959,2.60232326177664,Inf,-0.485671151076258,0.962305135017002,"mr_y_smri__vol__dst__sol"
"co_longi0 - co_longi1",-5.47279468463006,1.52398475599678,Inf,-3.59110854822856,0.00186969232048384,"mr_y_smri__vol__dst__soml"
"co_longi0 - co_longi2",-3.7294083016391,2.78626407342698,Inf,-1.33849778892354,0.538290893532247,"mr_y_smri__vol__dst__soml"
"co_longi0 - co_longi3",-4.64800775317596,3.51421766876087,Inf,-1.32262944168022,0.548421182948099,"mr_y_smri__vol__dst__soml"
"co_longi1 - co_longi2",1.74338638299095,2.83920583218226,Inf,0.614040152788414,0.92765267807601,"mr_y_smri__vol__dst__soml"
"co_longi1 - co_longi3",0.824786931454093,3.54720503710277,Inf,0.23251741098331,0.995575279380841,"mr_y_smri__vol__dst__soml"
"co_longi2 - co_longi3",-0.918599451536861,4.24593966365008,Inf,-0.216347740266091,0.996426006592349,"mr_y_smri__vol__dst__soml"
"co_longi0 - co_longi1",-5.25355760700764,0.771274181287095,Inf,-6.81153049650975,0.0000000000579634118480499,"mr_y_smri__vol__dst__somo"
"co_longi0 - co_longi2",-4.25076313256581,1.42032827628926,Inf,-2.99280328606237,0.0146847118531487,"mr_y_smri__vol__dst__somo"
"co_longi0 - co_longi3",-6.51375958237599,1.79147277979111,Inf,-3.63598021463408,0.00157777008405124,"mr_y_smri__vol__dst__somo"
"co_longi1 - co_longi2",1.00279447444183,1.44956357151043,Inf,0.691790614879294,0.900277993763955,"mr_y_smri__vol__dst__somo"
"co_longi1 - co_longi3",-1.26020197536835,1.81109311174339,Inf,-0.695823956922491,0.898728089383885,"mr_y_smri__vol__dst__somo"
"co_longi2 - co_longi3",-2.26299644981018,2.16880174634727,Inf,-1.0434316800148,0.723844737970683,"mr_y_smri__vol__dst__somo"
"co_longi0 - co_longi1",-12.4866600149026,1.78515007935091,Inf,-6.99473963524839,0.0000000000159743329675166,"mr_y_smri__vol__dst__sost"
"co_longi0 - co_longi2",-9.77246277905149,3.26886473947434,Inf,-2.98955862597819,0.0148342656407612,"mr_y_smri__vol__dst__sost"
"co_longi0 - co_longi3",-13.9293073441808,4.12293867156754,Inf,-3.37849006589392,0.00406179984684452,"mr_y_smri__vol__dst__sost"
"co_longi1 - co_longi2",2.71419723585111,3.33220836025404,Inf,0.814534069425415,0.847640964444339,"mr_y_smri__vol__dst__sost"
"co_longi1 - co_longi3",-1.44264732927823,4.16315825539627,Inf,-0.346527141361556,0.985709247482796,"mr_y_smri__vol__dst__sost"
"co_longi2 - co_longi3",-4.15684456512934,4.98366546740522,Inf,-0.834093819562418,0.838258730037155,"mr_y_smri__vol__dst__sost"
"co_longi0 - co_longi1",-11.3169431145294,1.71690960626941,Inf,-6.59146123546913,0.000000000261286769998037,"mr_y_smri__vol__dst__sotl"
"co_longi0 - co_longi2",-7.0277907355482,3.16035314686993,Inf,-2.22373589562567,0.116797642278148,"mr_y_smri__vol__dst__sotl"
"co_longi0 - co_longi3",-9.28398699886693,3.98617365498713,Inf,-2.32904730260602,0.0914926773993692,"mr_y_smri__vol__dst__sotl"
"co_longi1 - co_longi2",4.28915237898118,3.22513501116672,Inf,1.32991405449087,0.543768222886931,"mr_y_smri__vol__dst__sotl"
"co_longi1 - co_longi3",2.03295611566245,4.02948845785302,Inf,0.504519652289969,0.958032797230675,"mr_y_smri__vol__dst__sotl"
"co_longi2 - co_longi3",-2.25619626331873,4.82521031175965,Inf,-0.467585062110162,0.966147280184035,"mr_y_smri__vol__dst__sotl"
"co_longi0 - co_longi1",-15.8203176939919,1.86010154920588,Inf,-8.50508280085352,0.0000000000000381916720471054,"mr_y_smri__vol__dst__sotml"
"co_longi0 - co_longi2",-7.8591849356241,3.39555814181692,Inf,-2.31454877442291,0.0946931874095212,"mr_y_smri__vol__dst__sotml"
"co_longi0 - co_longi3",-12.1457324089521,4.28266242537258,Inf,-2.8360237633942,0.0236476167943497,"mr_y_smri__vol__dst__sotml"
"co_longi1 - co_longi2",7.96113275836785,3.45876307497831,Inf,2.30172827273454,0.0975965954629021,"mr_y_smri__vol__dst__sotml"
"co_longi1 - co_longi3",3.67458528503988,4.32125277953556,Inf,0.850351847603514,0.830266787812649,"mr_y_smri__vol__dst__sotml"
"co_longi2 - co_longi3",-4.28654747332797,5.17203162163287,Inf,-0.828793748166347,0.840826416820902,"mr_y_smri__vol__dst__sotml"
"co_longi0 - co_longi1",-11.0978178694842,1.82859943688526,Inf,-6.06902618781707,0.00000000771607933103269,"mr_y_smri__vol__dst__spc"
"co_longi0 - co_longi2",-8.86434167156381,3.37334281382515,Inf,-2.62776188510537,0.0426986316049826,"mr_y_smri__vol__dst__spc"
"co_longi0 - co_longi3",-11.2222402923281,4.25486260621845,Inf,-2.63750944059319,0.0415788268252905,"mr_y_smri__vol__dst__spc"
"co_longi1 - co_longi2",2.23347619792035,3.44386942656411,Inf,0.648536840767698,0.916098314249104,"mr_y_smri__vol__dst__spc"
"co_longi1 - co_longi3",-0.124422422843945,4.30285886736249,Inf,-0.0289162221395868,0.999991318521921,"mr_y_smri__vol__dst__spc"
"co_longi2 - co_longi3",-2.3578986207643,5.15333181195267,Inf,-0.457548379728892,0.968172034632644,"mr_y_smri__vol__dst__spc"
"co_longi0 - co_longi1",-20.0085702288165,3.4940026565079,Inf,-5.72654694224365,0.0000000614115348573918,"mr_y_smri__vol__dst__spct"
"co_longi0 - co_longi2",-10.3688139598527,6.3934265016161,Inf,-1.62179293954998,0.366230698987028,"mr_y_smri__vol__dst__spct"
"co_longi0 - co_longi3",-25.7572791570339,8.06384194702669,Inf,-3.19416964348255,0.00765741364115968,"mr_y_smri__vol__dst__spct"
"co_longi1 - co_longi2",9.6397562689638,6.51622812618997,Inf,1.47934603919402,0.450018923350177,"mr_y_smri__vol__dst__spct"
"co_longi1 - co_longi3",-5.74870892821737,8.14116066984048,Inf,-0.706128912246368,0.894710966157861,"mr_y_smri__vol__dst__spct"
"co_longi2 - co_longi3",-15.3884651971812,9.74528326894204,Inf,-1.57906802424346,0.390598553767242,"mr_y_smri__vol__dst__spct"
"co_longi0 - co_longi1",-12.5535492661583,2.31284935686185,Inf,-5.42774185829004,0.000000341560445815681,"mr_y_smri__vol__dst__spo"
"co_longi0 - co_longi2",-4.97094587718028,4.19706748104318,Inf,-1.18438550240911,0.636741369331179,"mr_y_smri__vol__dst__spo"
"co_longi0 - co_longi3",-15.1367047803963,5.29336199383805,Inf,-2.85956350576756,0.0220529276071777,"mr_y_smri__vol__dst__spo"
"co_longi1 - co_longi2",7.58260338897799,4.26827273705543,Inf,1.7765039527931,0.284658506791759,"mr_y_smri__vol__dst__spo"
"co_longi1 - co_longi3",-2.58315551423801,5.33267352854136,Inf,-0.484401585886053,0.962583021719568,"mr_y_smri__vol__dst__spo"
"co_longi2 - co_longi3",-10.165758903216,6.38075506556223,Inf,-1.59319058618657,0.382464490296088,"mr_y_smri__vol__dst__spo"
"co_longi0 - co_longi1",-11.7110196078575,2.97120868198619,Inf,-3.94150019783498,0.000470014263876939,"mr_y_smri__vol__dst__sprip"
"co_longi0 - co_longi2",-7.95234039475948,5.45612802660916,Inf,-1.45750619413189,0.463435103850953,"mr_y_smri__vol__dst__sprip"
"co_longi0 - co_longi3",-14.3109022603391,6.88177386127305,Inf,-2.07953683873182,0.159766793328073,"mr_y_smri__vol__dst__sprip"
"co_longi1 - co_longi2",3.75867921309807,5.56531393826157,Inf,0.675375954491466,0.906454903371686,"mr_y_smri__vol__dst__sprip"
"co_longi1 - co_longi3",-2.59988265248151,6.95320678189599,Inf,-0.373911309419246,0.982177453229829,"mr_y_smri__vol__dst__sprip"
"co_longi2 - co_longi3",-6.35856186557958,8.32501242347424,Inf,-0.763790075273664,0.870743873559871,"mr_y_smri__vol__dst__sprip"
"co_longi0 - co_longi1",-6.77747365855559,2.24199131033499,Inf,-3.02297052950795,0.0133571167584271,"mr_y_smri__vol__dst__sprsp"
"co_longi0 - co_longi2",-4.82704113217091,4.10890429938192,Inf,-1.17477575053209,0.642824549566123,"mr_y_smri__vol__dst__sprsp"
"co_longi0 - co_longi3",-8.318757992254,5.18248181463259,Inf,-1.60516877623501,0.375626208976766,"mr_y_smri__vol__dst__sprsp"
"co_longi1 - co_longi2",1.95043252638468,4.18933603104262,Inf,0.465570799747774,0.966559741204436,"mr_y_smri__vol__dst__sprsp"
"co_longi1 - co_longi3",-1.54128433369842,5.23404032582675,Inf,-0.294473148419039,0.991120893518497,"mr_y_smri__vol__dst__sprsp"
"co_longi2 - co_longi3",-3.49171686008309,6.26591699185143,Inf,-0.557255524550346,0.944597755998875,"mr_y_smri__vol__dst__sprsp"
"co_longi0 - co_longi1",-4.93962872441453,1.3354690290999,Inf,-3.69879691462693,0.00123968689200704,"mr_y_smri__vol__dst__sso"
"co_longi0 - co_longi2",-2.69071713677099,2.47731282168681,Inf,-1.08614346691141,0.69803276361584,"mr_y_smri__vol__dst__sso"
"co_longi0 - co_longi3",-2.00298535540852,3.12478341423079,Inf,-0.640999739785673,0.918703813750961,"mr_y_smri__vol__dst__sso"
"co_longi1 - co_longi2",2.24891158764353,2.53125656835449,Inf,0.888456593361257,0.810876346345981,"mr_y_smri__vol__dst__sso"
"co_longi1 - co_longi3",2.936643369006,3.16286225215835,Inf,0.928476530080318,0.789576184478963,"mr_y_smri__vol__dst__sso"
"co_longi2 - co_longi3",0.687731781362471,3.78955023267805,Inf,0.181481109666266,0.997879478362378,"mr_y_smri__vol__dst__sso"
"co_longi0 - co_longi1",-11.445932581541,1.83378682590985,Inf,-6.24169201120854,0.00000000259599508556363,"mr_y_smri__vol__dst__ssp"
"co_longi0 - co_longi2",-8.01582307256685,3.35675365014602,Inf,-2.38796882583807,0.0793624266320919,"mr_y_smri__vol__dst__ssp"
"co_longi0 - co_longi3",-15.2243441516947,4.23378329021226,Inf,-3.59591956132725,0.00183615283096339,"mr_y_smri__vol__dst__ssp"
"co_longi1 - co_longi2",3.43010950897412,3.42152388935399,Inf,1.00250929699683,0.747934108406224,"mr_y_smri__vol__dst__ssp"
"co_longi1 - co_longi3",-3.77841157015372,4.27474263177888,Inf,-0.883892176821269,0.813246271030691,"mr_y_smri__vol__dst__ssp"
"co_longi2 - co_longi3",-7.20852107912784,5.11713912085719,Inf,-1.40870140695341,0.493827257772869,"mr_y_smri__vol__dst__ssp"
"co_longi0 - co_longi1",-13.2505733224936,1.95925071109472,Inf,-6.76308205349071,0.0000000000810718159272028,"mr_y_smri__vol__dst__sti"
"co_longi0 - co_longi2",-11.0429178010743,3.59903445325829,Inf,-3.06830010784611,0.0115629968776751,"mr_y_smri__vol__dst__sti"
"co_longi0 - co_longi3",-11.3417291056177,4.53944248882694,Inf,-2.49848503060309,0.0601281544290192,"mr_y_smri__vol__dst__sti"
"co_longi1 - co_longi2",2.20765552141937,3.6713107301116,Inf,0.60132625204194,0.931671122869385,"mr_y_smri__vol__dst__sti"
"co_longi1 - co_longi3",1.90884421687591,4.58688004997461,Inf,0.416153070513906,0.975730739365841,"mr_y_smri__vol__dst__sti"
"co_longi2 - co_longi3",-0.298811304543456,5.49194497498472,Inf,-0.0544090128186848,0.999942212266605,"mr_y_smri__vol__dst__sti"
"co_longi0 - co_longi1",-45.6157381631318,6.01443370963414,Inf,-7.58437790910602,0.000000000000225597318603832,"mr_y_smri__vol__dst__sts"
"co_longi0 - co_longi2",-28.4045708315572,10.9357894862145,Inf,-2.59739553942252,0.0463523580797751,"mr_y_smri__vol__dst__sts"
"co_longi0 - co_longi3",-54.4878705014633,13.7924671565337,Inf,-3.95055285490759,0.000452787927518683,"mr_y_smri__vol__dst__sts"
"co_longi1 - co_longi2",17.2111673315745,11.1276031355545,Inf,1.54670930674927,0.409515110086737,"mr_y_smri__vol__dst__sts"
"co_longi1 - co_longi3",-8.87213233833156,13.9024762696766,Inf,-0.638169212896485,0.91967062329493,"mr_y_smri__vol__dst__sts"
"co_longi2 - co_longi3",-26.0832996699061,16.6363529940231,Inf,-1.567849616997,0.397113602752551,"mr_y_smri__vol__dst__sts"
"co_longi0 - co_longi1",-2.37976538574935,0.677292188158743,Inf,-3.51364658762546,0.00249405076783216,"mr_y_smri__vol__dst__stt"
"co_longi0 - co_longi2",-3.210628366165,1.24854382822499,Inf,-2.57149832755926,0.049673505622657,"mr_y_smri__vol__dst__stt"
"co_longi0 - co_longi3",-1.64480408098538,1.57480781608351,Inf,-1.04444749650529,0.723238319135833,"mr_y_smri__vol__dst__stt"
"co_longi1 - co_longi2",-0.830862980415657,1.27453751347518,Inf,-0.65189370389751,0.914923353602712,"mr_y_smri__vol__dst__stt"
"co_longi1 - co_longi3",0.734961304763964,1.59241512764098,Inf,0.461538760846076,0.967376149216101,"mr_y_smri__vol__dst__stt"
"co_longi2 - co_longi3",1.56582428517962,1.9070530314964,Inf,0.821070132460327,0.844534530569177,"mr_y_smri__vol__dst__stt"
"co_longi0 - co_longi1",684.505449511552,31.5748964537351,Inf,21.6787868335378,0,"mr_y_smri__vol__dst"
"co_longi0 - co_longi2",1155.65339925359,56.2434036745574,Inf,20.5473588679051,0,"mr_y_smri__vol__dst"
"co_longi0 - co_longi3",959.021391210574,70.8725693874339,Inf,13.5316300721082,0,"mr_y_smri__vol__dst"
"co_longi1 - co_longi2",471.147949742033,56.8159073858925,Inf,8.29253586573924,0.0000000000000441868763800812,"mr_y_smri__vol__dst"
"co_longi1 - co_longi3",274.515941699022,70.9528191689305,Inf,3.86899273227511,0.000631956070359596,"mr_y_smri__vol__dst"
"co_longi2 - co_longi3",-196.632008043011,84.8637959600563,Inf,-2.31703055252868,0.0941391338451488,"mr_y_smri__vol__dst"
